"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2015","BE","Total","Total","Number","11 208 986","b"
"2015","BG","Total","Total","Number","7 202 198",""
"2015","CZ","Total","Total","Number","10 538 275",""
"2015","DK","Total","Total","Number","5 659 715",""
"2015","DE","Total","Total","Number","81 197 537",""
"2015","EE","Total","Total","Number","1 313 271",""
"2015","IE","Total","Total","Number","4 628 949","p"
"2015","EL","Total","Total","Number","10 858 018",""
"2015","ES","Total","Total","Number","46 449 565",""
"2015","FR","Total","Total","Number","66 415 161","bp"
"2015","HR","Total","Total","Number","4 225 316",""
"2015","IT","Total","Total","Number","60 795 612",""
"2015","CY","Total","Total","Number","847 008",""
"2015","LV","Total","Total","Number","1 986 096",""
"2015","LT","Total","Total","Number","2 921 262",""
"2015","LU","Total","Total","Number","562 958",""
"2015","HU","Total","Total","Number","9 855 571",""
"2015","MT","Total","Total","Number","429 344",""
"2015","NL","Total","Total","Number","16 900 726",""
"2015","AT","Total","Total","Number","8 576 261",""
"2015","PL","Total","Total","Number","38 005 614",""
"2015","PT","Total","Total","Number","10 374 822","e"
"2015","RO","Total","Total","Number","19 870 647","e"
"2015","SI","Total","Total","Number","2 062 874",""
"2015","SK","Total","Total","Number","5 421 349",""
"2015","FI","Total","Total","Number","5 471 753",""
"2015","SE","Total","Total","Number","9 747 355",""
"2015","UK","Total","Total","Number","64 875 165","e"
"2015","IS","Total","Total","Number","329 100",""
"2015","LI","Total","Total","Number","37 366",""
"2015","NO","Total","Total","Number","5 166 493",""
"2015","CH","Total","Total","Number","8 237 666",""
"2015","ME","Total","Total","Number","622 099",""
"2015","MK","Total","Total","Number","2 069 172",""
"2015","AL","Total","Total","Number","2 892 302","e"
"2015","RS","Total","Total","Number","7 114 393",""
"2015","TR","Total","Total","Number","77 695 904",""
"2015","AD","Total","Total","Number",":",""
"2015","BY","Total","Total","Number","9 480 868",""
"2015","BA","Total","Total","Number",":",""
"2015","XK","Total","Total","Number",":",""
"2015","MD","Total","Total","Number","3 555 159",""
"2015","MC","Total","Total","Number",":",""
"2015","RU","Total","Total","Number",":",""
"2015","SM","Total","Total","Number",":",""
"2015","UA","Total","Total","Number","42 759 661",""
"2015","AM","Total","Total","Number","3 010 598",""
"2015","AZ","Total","Total","Number","9 593 038",""
"2015","GE","Total","Total","Number","3 729 500",""
