id;Org1;Org2;nbLinkTmp;Org
89431;ANERDGY AG;ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON;1;ANERDGY AG
322341;ANERDGY AG;UNIVERSITA DEGLI STUDI DI PERUGIA;1;ANERDGY AG
560471;ANERDGY AG;TECHNISCHE UNIVERSITAET MUENCHEN;1;ANERDGY AG
648231;ANERDGY AG;THE RESEARCH COMMITTEE OF THE TECHNICAL UNIVERSITY OF CRETE;1;ANERDGY AG
1079671;ANERDGY AG;THE CYPRUS INSTITUTE;1;ANERDGY AG
1081861;ANERDGY AG;BEN-GURION UNIVERSITY OF THE NEGEV;1;ANERDGY AG
1174121;ANERDGY AG;OXFORD BROOKES UNIVERSITY;1;ANERDGY AG
118392;ANERDGY AG;CONSORZIO ARCA - CONSORZIO PER LA PROMOZIONE DELLE APPLICAZIONI DELLA RICERCA E LA CREAZIONE DI AZIENDE INNOVATIVE;1;ANERDGY AG
167577;ANERDGY AG;CONTEDIL DI RICCO MARIA & C SAS;1;ANERDGY AG
1675812;ANERDGY AG;ECO LIMITED;1;ANERDGY AG
167587;ANERDGY AG;FIBRAN INSULATING MATERIALS INDUSTRY DIMITRIOS ANASTASIADIS SA;1;ANERDGY AG
1675941;ANERDGY AG;GEORGE VASSILIOU LIMITED;1;ANERDGY AG
1676021;ANERDGY AG;OFFICE PUBLIC D'AMENAGEMENT ET DE CONSTRUCTION DE L'ISERE;1;ANERDGY AG
167615;ANERDGY AG;THE TRUSTEES OF THE JOSEPH ROWNTREE HOUSING TRUST;1;ANERDGY AG
167573;ABB SPA;ANERDGY AG;1;ANERDGY AG
